Enabled;Field No.;Field Name;Caption;Data Type;Length;Description;Field Class;Option String
Yes;5447;Overflow Level;Niveau de dépassement de capacité;Decimal;;;Normal;
Yes;5449;Planning Transfer Ship. (Qty).;Planning Transfer Ship. (Qty).;Decimal;;;FlowField;
Yes;5450;Planning Worksheet (Qty.);Planning Worksheet (Qty.);Decimal;;;FlowField;
Yes;5700;Stockkeeping Unit Exists;Point de stock;Boolean;;;FlowField;
Yes;5701;Manufacturer Code;Code fabricant;Code;10;;Normal;
Yes;5702;Item Category Code;Code catégorie article;Code;20;;Normal;
Yes;5703;Created From Nonstock Item;Lien article non stocké;Boolean;;;Normal;
Yes;5704;Product Group Code;Code groupe produits;Code;10;;Normal;
Yes;5706;Substitutes Exist;Article de substitution;Boolean;;;FlowField;
Yes;5707;Qty. in Transit;Qté en transit;Decimal;;;FlowField;
Yes;5708;Trans. Ord. Receipt (Qty.);Réception transfert (qté);Decimal;;;FlowField;
Yes;5709;Trans. Ord. Shipment (Qty.);Expédition transfert (qté);Decimal;;;FlowField;
Yes;5776;Qty. Assigned to ship;Qté affectée à expédier;Decimal;;;FlowField;
Yes;5777;Qty. Picked;Qté prélevée;Decimal;;;FlowField;
Yes;5900;Service Item Group;Gpe articles de service;Code;10;;Normal;
Yes;5901;Qty. on Service Order;Qté sur commande service;Decimal;;;FlowField;
Yes;5902;Res. Qty. on Service Orders;Qté rés. sur commande service;Decimal;;;FlowField;
Yes;6500;Item Tracking Code;Code traçabilité;Code;10;;Normal;
Yes;6501;Lot Nos.;N° lot;Code;20;;Normal;
Yes;6502;Expiration Calculation;Calcul péremption;DateFormula;;;Normal;
Yes;6503;Lot No. Filter;Filtre n° lot;Code;50;;FlowFilter;
Yes;6504;Serial No. Filter;Filtre n° de série;Code;50;;FlowFilter;
Yes;6650;Qty. on Purch. Return;Qty. on Purch. Return;Decimal;;;FlowField;
Yes;6660;Qty. on Sales Return;Qty. on Sales Return;Decimal;;;FlowField;
Yes;7171;No. of Substitutes;Nbre de substituts;Integer;;;FlowField;
Yes;7300;Warehouse Class Code;Code classe entrepôt;Code;10;;Normal;
Yes;7301;Special Equipment Code;Code équipement spécial;Code;10;;Normal;
Yes;7302;Put-away Template Code;Code modèle rangement;Code;10;;Normal;
Yes;7307;Put-away Unit of Measure Code;Code unité rangement;Code;10;;Normal;
Yes;7380;Phys Invt Counting Period Code;Code période inventaire stock;Code;10;;Normal;
Yes;7381;Last Counting Period Update;Dern. MAJ période d'inventaire;Date;;;Normal;
Yes;7383;Last Phys. Invt. Date;Date dern. inventaire;Date;;;FlowField;
Yes;7384;Use Cross-Docking;Utiliser transbordement;Boolean;;;Normal;
Yes;7385;Next Counting Start Date;Proch. date début d'inventaire;Date;;;Normal;
Yes;7386;Next Counting End Date;Proch. date fin d'inventaire;Date;;;Normal;
Yes;7700;Identifier Code;Code identifiant;Code;20;;FlowField;
Yes;8000;Id;Id;GUID;;;Normal;
Yes;8001;Unit of Measure Id;ID unité de mesure;GUID;;;Normal;
Yes;8002;Tax Group Id;ID Groupe taxes;GUID;;;Normal;
Yes;8003;Sales Blocked;Vente bloquée;Boolean;;;Normal;
Yes;8004;Purchasing Blocked;Achat bloqué;Boolean;;;Normal;
Yes;8005;Item Category Id;ID catégorie article;GUID;;;Normal;
Yes;50000;Stock Consolidé;Stock Consolidé;Boolean;;;Normal;
Yes;50001;Replaced Ref;Reference Remplacé;Code;20;;Normal;
Yes;50002;Replaced By;Remplacé par;Code;20;;Normal;
Yes;50003;Creation Date;Date de Création;Date;;;Normal;
Yes;50004;Published Cost;Coût publié;Decimal;;;Normal;
Yes;50005;Published Cost Currency Code;<Published Cost Currency Code>;Code;10;;Normal;
Yes;50006;Sales Profit group;Groupe profit vente;Code;20;;Normal;
Yes;50007;Version No;Num. version;Code;20;;Normal;
Yes;50008;Vehicle Type;Type de véhicule;Code;20;;Normal;
Yes;50009;Type mine;Type mine;Code;20;;Normal;
Yes;50010;Published Cost (LCY);Coût publié DS;Decimal;;;Normal;
Yes;50011;Replacement done By user;Remplacement fait par l'utilisateur;Code;50;;Normal;
Yes;50012;Status;Statut;Option;;;Normal;Waiting,Validated
Yes;50013;Marge Theorique;% marge sur vente;Decimal;;;Normal;
Yes;50014;Non Stock item ref;Ref. article non stocké;Code;20;;Normal;
Yes;50015;Allow Line Disc.;Autoriser remise ligne;Boolean;;;Normal;
Yes;50016;Qty. SO to ship;Qté CV à livrer;Decimal;;;FlowField;
Yes;50017;Qty. EDMS Srv Or to consume;Qtie Orde de serv. EDMS à consommer;Decimal;;;FlowField;
Yes;50018;Equipementier;<Equipementier>;Text;50;;Normal;
Yes;50019;Next Counting Period;Proch. période d'inventaire;Text;250;;Normal;
Yes;50020;Commission %;<Commission %>;Decimal;;DELTA MHR 01-12-2016;Normal;
Yes;50025;Old Purchase Price;Ancien prix d'achat;Decimal;;DELTA  AKH 30-12-2016;Normal;
Yes;50026;Last Currency Code;Dernier code devise;Code;20;DELTA  AKH 30-12-2016;Normal;
Yes;50027;Old Purchase Price (LCY);Ancien prix d'achat DS;Decimal;;DELTA  AKH 30-12-2016;Normal;
Yes;50028;Current Purchase Price;Prix d'achat actuel;Decimal;;DELTA  AKH 30-12-2016;Normal;
Yes;50029;Current Purchase Price (LCY);Prix d'achat actuel DS;Decimal;;DELTA  AKH 30-12-2016;Normal;
Yes;50030;Scan BC;A scanner CB;Boolean;;DELTA  MSI 20-07-2017;Normal;
Yes;50031;CB Exist;Code à barre Existe;Boolean;;DELTA MSI 03-01-2018;FlowField;
Yes;50032;Delai de livraison;<Delai de livraison>;Text;80;DELTA 09-01-2018;Normal;
Yes;50033;Popular Version;<Popular Version>;Boolean;;DELTA SD 16-05-2018;Normal;
Yes;50034;Available Inventory;Stock disponible;Decimal;;;FlowField;
Yes;50080;Ancien prix de vente;<Ancien prix de vente>;Decimal;;;Normal;
Yes;50081;Version commercialisée;<Version commercialisée>;Boolean;;;Normal;
Yes;50082;Visible sur portail;<Visible sur portail>;Boolean;;;Normal;
Yes;50083;Consolidated Inventory;Stocks;Decimal;;;FlowField;
Yes;50084;Company Name Filter;<Company Name Filter>;Code;30;;FlowFilter;
Yes;50085;Painting Item;Article de peinture;Boolean;;;Normal;
Yes;50086;Linked To Own Option;Lié à option propriétaire;Boolean;;;Normal;
Yes;25006370;Make Code;Code marque;Code;20;Only for Vehicle Trade;Normal;
Yes;25006371;Model Code;<Model Code>;Code;20;Only for Vehicle Trade;Normal;
